Student,Points
b06202054,64
r07222035,0
r09245017,0
b05901010,0
b05901015,80
b05901165,0
b06901054,80
b06901062,80
b06901073,80
b06901081,80
b06901146,80
b06901170,80
b05902045,80
r08921101,8
r09921049,80
r08921060,80
r08921080,0
r09922064,80
d09943006,0
r08943149,2
r09943089,80
r09943090,80
r09943091,80
r09943095,80
r09943097,80
r09943098,80
r09943099,80
r09943100,80
r09943101,80
r09943104,80
r09943107,80
r09943108,80
r09943109,80
r09943111,80
r09943142,80
r09943146,80
r09943147,80
r09943150,80
d08943011,80
d08943012,80
r07943034,80
r08943064,2
r08943090,80
r08943098,80
r08943099,64
r08943100,80
r08943101,80
r08943103,80
r08943104,80
r08943110,48
r08943154,80
