tool	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 
run set	dc2	dc2	dc2	dc2	dc2	resyn2	resyn2	resyn2	resyn2	resyn2
benchmarks/	status	cputime (s)	memory (MB)	#And	#Lev	status	cputime (s)	memory (MB)	#And	#Lev
random_control/arbiter.aig	done	0.999066882	8.921088	11839	89	done	1.296827231	11.264000	11839	87
random_control/cavlc.aig	done	0.082378287	3.379200	649	17	done	0.1269823	5.533696	662	16
random_control/ctrl.aig	done	0.046114619	3.158016	96	7	done	0.084503256	5.394432	108	8
random_control/dec.aig	done	0.054862677	3.162112	304	3	done	0.099504403	5.263360	304	3
random_control/i2c.aig	done	0.115920825	4.182016	1147	13	done	0.158577283	5.906432	1162	15
random_control/int2float.aig	done	0.050964941	3.174400	208	13	done	0.087550567	5.419008	214	15
random_control/mem_ctrl.aig	done	3.587253314	38.424576	42797	96	done	4.679452484	27.086848	45614	110
random_control/priority.aig	done	0.080660467	3.436544	703	216	done	0.150795527	5.472256	676	203
random_control/router.aig	done	0.052779937	3.411968	223	26	done	0.090317045	5.525504	177	19
random_control/voter.aig	done	0.771493335	10.797056	8691	60	done	2.139106053	12.607488	9756	57
arithmetic/adder.aig	done	0.083280661	3.436544	1019	255	done	0.143579558	5.652480	1019	255
arithmetic/bar.aig	done	0.247233347	5.181440	2952	14	done	0.294021117	6.881280	3141	12
arithmetic/div.aig	done	4.697008899	36.069376	40520	4403	done	6.741360593	33.841152	40772	4361
arithmetic/hyp.aig	done	22.053377496	151.527424	211689	24882	TIMEOUT	61.001897683	154.492928		
arithmetic/log2.aig	done	2.824420895	22.097920	29323	358	done	6.000681492	27.181056	29370	376
arithmetic/max.aig	done	0.242197058	5.517312	2831	211	done	0.306278606	7.106560	2834	204
arithmetic/multiplier.aig	done	2.212479986	18.440192	24377	262	done	4.38446404	23.203840	24556	262
arithmetic/sin.aig	done	0.531117561	6.258688	5040	161	done	0.911605963	9.076736	5039	177
arithmetic/sqrt.aig	done	3.101136477	23.621632	18453	6070	done	3.95698561	20.180992	19437	4968
arithmetic/square.aig	done	1.532412871	13.053952	16674	247	done	3.175525069	17.334272	16623	248
