Student,Points
b06202054,0
r07222035,0
r09245017,0
b05901010,0
b05901015,60
b05901165,0
b06901054,0
b06901062,0
b06901073,0
b06901081,0
b06901146,0
b06901170,0
b05902045,0
r08921101,0
r09921049,0
r08921060,0
r08921080,0
r09922064,0
d09943006,0
r08943149,0
r09943089,0
r09943090,0
r09943091,0
r09943095,0
r09943097,0
r09943098,0
r09943099,0
r09943100,0
r09943101,0
r09943104,0
r09943107,0
r09943108,0
r09943109,0
r09943111,0
r09943142,0
r09943146,0
r09943147,0
r09943150,0
d08943011,0
d08943012,0
r07943034,0
r08943064,0
r08943090,0
r08943098,0
r08943099,0
r08943100,0
r08943101,0
r08943103,0
r08943104,0
r08943110,0
r08943154,0
